Feature_ID,Result,top_ref,identity,Domain,Phylum,Class,Order,Family,Genus
a20f500706b0005fe884f0ecf17a8d8c,perfect,LjNodule209=LjNodule210=LjNodule211=LjNodule212=LjNodule213=LjNodule214=LjNodule215=LjNodule217=LjNodule218,100,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Mesorhizobium
8e2326d224a3adc2221c2c1932ab7c6b,perfect,LjRoot149,100,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Flavobacterium
fca661a60cfccd85f8f8ce0970e5960d,perfect,LjRoot20=LjRoot37=LjRoot38=LjRoot129=LjRoot138=LjRoot192,100,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,0
26224096c4e323245382bff89c608796,perfect,LjRoot221,100,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium
89314f2de8555c64042a0774d1e71967,perfect,LjRoot21=LjRoot60=LjRoot63=LjRoot68=LjRoot73=LjRoot77=LjRoot125=LjRoot143=LjRoot156=LjRoot157=LjRoot165=LjRoot173=LjRoot193=LjRoot197,100,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Pseudoxanthomonas
5e87ec2e2aebaba32fe8246efde8adf8,perfect,LjRoot54=LjRoot59=LjRoot111=LjRoot147=LjRoot151=LjRoot154=LjRoot159=LjRoot182=LjRoot195=LjRoot250,100,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas
8e95c9bcccd86e128b51f31effcf3a22,perfect,LjRoot72=LjRoot75=LjRoot76=LjRoot79=LjRoot86=LjRoot87=LjRoot93=LjRoot94=LjRoot95=LjRoot102=LjRoot103=LjRoot107=LjRoot109=LjRoot118=LjRoot120=LjRoot121=LjRoot124=LjRoot140=LjRoot148=LjRoot158=LjRoot166=LjRoot176=LjRoot180=LjRoot181=LjRoot187=LjRoot188=LjRoot189=LjRoot191=LjRoot199=LjRoot200=LjRoot201,100,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,0
139a898757d6d1108b58044e646ad0ba,perfect,LjRoot62=LjRoot69=LjRoot99=LjRoot126=LjRoot139=LjRoot150=LjRoot160=LjRoot161=LjRoot170=LjRoot171=LjRoot172=LjRoot203=LjRoot236=LjRoot260=LjRoot294=LjRoot302,100,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,0
938360be2e752fe3fb9d60a14cae8d89,perfect,LjRoot134=LjRoot135=LjRoot198,100,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,0
6983af9387085b361df4d6ec10d8a801,perfect,LjRoot228,100,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Mesorhizobium
3c863cf67a014692d9f01d71cba0f7fb,perfect,LjRoot18,100,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Rhodanobacteraceae,0
ece0eb0811bd064e537f49c346b29ddf,perfect,LjRoot223,100,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Burkholderia-Caballeronia-Paraburkholderia
df3e7f1dd6d26a9131997f209d3e9c29,perfect,LjRoot196,100,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Pseudoduganella
85fa8bb918a926d97659d9b64ca6fedd,other,NA,NA,Bacteria,0,0,0,0,0
bd797c368962e36c66f5b134c30960da,perfect,LjRoot162=LjRoot252,100,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas
72b21d905100fa549a5321a4526e6e25,perfect,LjRoot1,100,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Achromobacter
4ab4b82a687ed03f4468a67ec6335aca,perfect,LjRoot26=LjRoot39=LjRoot40=LjRoot41,100,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Pseudorhodoferax
4efa2c9ef383f65606440f48286f8e40,perfect,LjRoot25=LjRoot32=LjRoot33=LjRoot35=LjRoot36,100,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Herbaspirillum
37cb46a80ce73d50181555a8258e82a8,perfect,LjRoot82,100,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Flavobacterium
62f6cee9b49f45c2fc88f50df857f65b,other,NA,NA,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,0
